name,score,comments,address,price
Grandi Nipponbashi Park Hotel,8.5,244条住客点评,"南部地区, 大阪 – 显示在地图上",HK$ 582
Kawarayamachi Crystal Hotel,8.7,299条住客点评,"南部地区, 大阪 – 显示在地图上",HK$ 588
Floral Hotel Shinsaibasi,7.6,59条住客点评,"南部地区, 大阪 – 显示在地图上",HK$ 726
Namba~Tsutenkaku Guest house Sunnyhouse,9.1,16条住客点评,"南部地区, 大阪 – 显示在地图上",HK$ 657
Shin Nippombashi,9,68条住客点评,"南部地区, 大阪 – 显示在地图上",HK$ 807
Doutonbori Crystal Hotel,9.5,5条住客点评,"道顿堀, 大阪 – 显示在地图上",HK$ 872
RakutenSTAYHOSTEL Nambaminami,8.5,127条住客点评,"南部地区, 大阪 – 显示在地图上",HK$ 795
Lahaina Park Hotel,7.6,9条住客点评,"南部地区, 大阪 – 显示在地图上",HK$ 553
APA Hotel Namba-Eki Higashi,8.2,"5,355条住客点评","难波, 大阪 – 显示在地图上",HK$ 761
Hotel Shin-Imamiya,7.1,"3,211条住客点评","南部地区, 大阪 – 显示在地图上",HK$ 552
Jakotel Apartment Namba,7.8,128条住客点评,"南部地区, 大阪 – 显示在地图上",HK$ 484
HG Cozy Hotel No.16,7.3,30条住客点评,"南部地区, 大阪 – 显示在地图上",HK$ 616
APA Hotel Namba-Shinsaibashi,7.8,"1,746条住客点评","道顿堀, 大阪 – 显示在地图上",HK$ 830
HG Cozy Hotel No.38,7.9,22条住客点评,"南部地区, 大阪 – 显示在地图上",HK$ 616
HOTEL LAND MARK NAMBA101,9.8,7条住客点评,"难波, 大阪 – 显示在地图上",HK$ 761
Picnic Hostel Osaka,9.2,814条住客点评,"南部地区, 大阪 – 显示在地图上",HK$ 519
Motomachi Hotel Apartment,8.2,22条住客点评,"难波, 大阪 – 显示在地图上",HK$ 747
Sarasa Hotel Shinsaibashi,8.7,"2,047条住客点评","心斋桥, 大阪 – 显示在地图上",HK$ 654
Hotel Code Shinsaibashi,8.3,973条住客点评,"心斋桥, 大阪 – 显示在地图上",HK$ 726
Nishitetsu Inn Shinsaibashi,8,488条住客点评,"心斋桥, 大阪 – 显示在地图上",HK$ 703
HG Cozy Hotel No.32,7.3,64条住客点评,"南部地区, 大阪 – 显示在地图上",HK$ 692
Sarasa Hotel Namba,8.5,"2,002条住客点评","难波, 大阪 – 显示在地图上",HK$ 830
Welina Hotel Dotonbori,8.2,261条住客点评,"道顿堀, 大阪 – 显示在地图上",HK$ 761
BEST WESTERN Hotel Fino Osaka Shinsaibashi,8,736条住客点评,"心斋桥, 大阪 – 显示在地图上",HK$ 778
Hotel July,8.3,192条住客点评,"南部地区, 大阪 – 显示在地图上",HK$ 830
Hotel WBF Namba Kuromon,,,"南部地区, 大阪 – 显示在地图上",HK$ 794
Tanimachi Hotel Apartment,8.2,3条住客点评,"南部地区, 大阪 – 显示在地图上",HK$ 708
Samty Nipponbashi Apartment,7.8,37条住客点评,"南部地区, 大阪 – 显示在地图上",HK$ 588
Maple House Namba Nippombashi,,,"南部地区, 大阪 – 显示在地图上",HK$ 761
Hotel Amaterrace Yosuga,9.2,127条住客点评,"南部地区, 大阪 – 显示在地图上",HK$ 692
