name,score,comments,address,description
Residential Hotel Hare Kuromon,9.6,11条住客点评,"中央区, 大阪【南部地区】 – 显示在地图上","Residential Hotel Hare Kuromon is located in Osaka, in the Chuo Ward district."
Nipponbashi Hanna No.2 Hotel Apartment,,,"中央区, 大阪【南部地区】 – 显示在地图上","1.2 km from Glico Man Sign, Nipponbashi Hanna No."
Lore Hostel Dotonbori（道顿堀旅舍）,8.2,"2,993条住客点评","中央区, 大阪【难波】 – 显示在地图上",Lore Hostel Dotonbori旅舍距离Glico Man Sign广告牌有300米，位于大阪的Chuo...
Hotel Be-zen shimanouchi,7.8,14条住客点评,"中央区, 大阪【道顿堀】 – 显示在地图上",Hotel Be-zen shimanouchi酒店位于大阪，提供带空调和免费WiFi的客房，距离格力高广告牌（Glico Man Sign）有900米，距离难波城购物中心（Namba CITY...
The Dorm Hostel Osaka（大阪啡香书屋旅舍）,9.2,"2,455条住客点评","中央区, 大阪【心斋桥】 – 显示在地图上",THE DORM HOSTEL OSAKA旅舍位于大阪，距离Nagahoribashi Station车站有5分钟的步行路程，距离Shinsaibashi...
Osaka Hana Hostel（大阪花宿旅舍）,8.9,"1,262条住客点评","中央区, 大阪【心斋桥】 – 显示在地图上",Osaka Hana Hostel旅馆距离心斋桥火车站有2分钟的步行路程，提供带免费无线网络连接的私人客房和宿舍间。客人可以在休息室免费使用电脑并享用免费的咖啡/茶...
Dotonbori Hotel（道顿堀酒店）,8.7,504条住客点评,"中央区, 大阪【道顿堀】 – 显示在地图上",Dotonbori Hotel酒店距离难波地铁站（Namba Subway Station）仅有3分钟步行路程，提供带免费WiFi和平板电视的客房以及可免费使用的电脑、自行车和婴儿推车。 Hotel...
Bijou Suites Akari（比约明亮套房公寓）,9.2,69条住客点评,"中央区, 大阪【南部地区】 – 显示在地图上",Bijou Suites Akari公寓位于大阪（Osaka），提供免费WiFi，距离难波城（Namba CITY）购物中心600米。 部分公寓配有带洗碗机和微波炉的厨房。...
Apollo Couples Apartment at Namba（阿波罗情侣纳姆巴公寓）,9.0,100条住客点评,大阪【难波】 – 显示在地图上,Apollo Couples Apartment at Namba酒店距离难波车站（Namba...
Hotel Le Botejour Nanba,7.9,527条住客点评,"中央区, 大阪【难波】 – 显示在地图上",Hotel Le Botejour Annex酒店提供按摩服务和24小时服务的前台，距离难波地铁站（Namba Subway Station）有400米。客房内设有免费的有线网络、平面电视和连接浴室。...
RakutenSTAYHOSTEL Nambaminami（那木巴米娜米拉库塔斯酒店）,8.5,167条住客点评,大阪【南部地区】 – 显示在地图上,RakutenSTAYHOSTEL Nambaminami酒店位于大阪，距离新世界（Shinsekai）700米，提供带免费WiFi的客房。酒店靠近几个著名的景点，距离通天阁（Tsutenkaku...
